id,sentence,tokens,labels
1060,Mệt mỏi do thiếu kẽm nên ăn yến mạch không?,Mệt_mỏi do thiếu kẽm nên ăn yến_mạch không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
1061,Bị thiếu máu chóng mặt có liên quan đến chế độ ăn không?,Bị thiếu_máu chóng_mặt có liên_quan đến chế_độ_ăn không ?,O B-DISEASE B-SYMPTOM O O O O O O
1062,Bị dạ dày chóng mặt có liên quan đến chế độ ăn không?,Bị dạ_dày chóng_mặt có liên_quan đến chế_độ_ăn không ?,O B-DISEASE B-SYMPTOM O O O O O O
1063,Bị gout đau đầu có liên quan đến chế độ ăn không?,Bị gout đau_đầu có liên_quan đến chế_độ_ăn không ?,O B-DISEASE B-SYMPTOM O O O O O O
1064,Bị gout khó tiêu có liên quan đến chế độ ăn không?,Bị gout khó_tiêu có liên_quan đến chế_độ_ăn không ?,O B-DISEASE B-SYMPTOM O O O O O O
1065,Người gan nhiễm mỡ mệt mỏi nên bổ sung protein từ đậu phụ không?,Người gan_nhiễm_mỡ mệt_mỏi nên bổ_sung protein từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1066,Người loãng xương mệt mỏi nên bổ sung protein từ đậu phụ không?,Người loãng_xương mệt_mỏi nên bổ_sung protein từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1067,Người ung thư đau cơ nên bổ sung protein từ đậu phụ không?,Người ung_thư đau_cơ nên bổ_sung protein từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1068,Người ung thư đau khớp nên bổ sung protein từ đậu phụ không?,Người ung_thư đau_khớp nên bổ_sung protein từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1069,Người ung thư mệt mỏi nên bổ sung natri từ đậu phụ không?,Người ung_thư mệt_mỏi nên bổ_sung natri từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1070,Người ung thư mệt mỏi nên bổ sung magiê từ đậu phụ không?,Người ung_thư mệt_mỏi nên bổ_sung magiê từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1071,Người ung thư mệt mỏi nên bổ sung protein từ hạt chia không?,Người ung_thư mệt_mỏi nên bổ_sung protein từ hạt_chia không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1072,Người ung thư mệt mỏi nên bổ sung protein từ rau muống không?,Người ung_thư mệt_mỏi nên bổ_sung protein từ rau_muống không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
1073,Đậu xanh giàu chất béo lành mạnh tốt cho người bị tim mạch không?,đậu_xanh giàu chất_béo lành_mạnh tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O O B-DISEASE O O
1074,Óc chó giàu chất béo lành mạnh tốt cho người bị tim mạch không?,óc_chó giàu chất_béo lành_mạnh tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O O B-DISEASE O O
1075,Bơ giàu protein lành mạnh tốt cho người bị tim mạch không?,Bơ giàu protein lành_mạnh tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O O B-DISEASE O O
1076,Bơ giàu omega-3 lành mạnh tốt cho người bị tim mạch không?,Bơ giàu omega-3 lành_mạnh tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O O B-DISEASE O O
1077,Bơ giàu chất béo lành mạnh tốt cho người bị ung thư không?,Bơ giàu chất_béo lành_mạnh tốt cho người bị ung_thư không ?,B-FOOD O B-NUTRIENT O O O O O B-DISEASE O O
1078,Bơ giàu chất béo lành mạnh tốt cho người bị tiểu đường không?,Bơ giàu chất_béo lành_mạnh tốt cho người bị tiểu_đường không ?,B-FOOD O B-NUTRIENT O O O O O B-DISEASE O O
1079,Bị gout đau đầu nên ăn cá hồi không?,Bị gout đau_đầu nên ăn cá_hồi không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
1080,Bị thiếu máu đau đầu nên ăn cá hồi không?,Bị thiếu_máu đau_đầu nên ăn cá_hồi không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
1081,Bị cholesterol cao đau khớp nên ăn cá hồi không?,Bị cholesterol_cao đau_khớp nên ăn cá_hồi không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
1082,Bị cholesterol cao tiêu chảy nên ăn cá hồi không?,Bị cholesterol_cao tiêu_chảy nên ăn cá_hồi không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
1083,Bị cholesterol cao đau đầu nên ăn khoai lang không?,Bị cholesterol_cao đau_đầu nên ăn khoai_lang không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
1084,Bị cholesterol cao đau đầu nên ăn thịt bò không?,Bị cholesterol_cao đau_đầu nên ăn thịt_bò không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
1085,Người bị béo phì nên ăn thịt bò và rau muống không?,Người bị béo_phì nên ăn thịt_bò và rau_muống không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
1086,Người bị loãng xương nên ăn thịt bò và rau muống không?,Người bị loãng_xương nên ăn thịt_bò và rau_muống không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
1087,Người bị thiếu máu nên ăn bưởi và rau muống không?,Người bị thiếu_máu nên ăn bưởi và rau_muống không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
1088,Người bị thiếu máu nên ăn gạo lứt và rau muống không?,Người bị thiếu_máu nên ăn gạo_lứt và rau_muống không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
1089,Người bị thiếu máu nên ăn thịt bò và tôm không?,Người bị thiếu_máu nên ăn thịt_bò và tôm không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
1090,Người bị thiếu máu nên ăn thịt bò và bưởi không?,Người bị thiếu_máu nên ăn thịt_bò và bưởi không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
1091,Bị loãng xương ăn gạo lứt và rau xanh có tốt không?,Bị loãng_xương ăn gạo_lứt và rau_xanh có tốt không ?,O B-DISEASE O B-FOOD O B-FOOD O O O O
1092,Bị thiếu máu ăn gạo lứt và rau xanh có tốt không?,Bị thiếu_máu ăn gạo_lứt và rau_xanh có tốt không ?,O B-DISEASE O B-FOOD O B-FOOD O O O O
1093,Bị huyết áp cao ăn chuối và rau xanh có tốt không?,Bị huyết_áp_cao ăn chuối và rau_xanh có tốt không ?,O B-DISEASE O B-FOOD O B-FOOD O O O O
1094,Bị huyết áp cao ăn cá ba sa và rau xanh có tốt không?,Bị huyết_áp_cao ăn cá_ba_sa và rau_xanh có tốt không ?,O B-DISEASE O B-FOOD O B-FOOD O O O O
1095,Bị huyết áp cao ăn gạo lứt và hạt chia có tốt không?,Bị huyết_áp_cao ăn gạo_lứt và hạt_chia có tốt không ?,O B-DISEASE O B-FOOD O B-FOOD O O O O
1096,Bị huyết áp cao ăn gạo lứt và bông cải xanh có tốt không?,Bị huyết_áp_cao ăn gạo_lứt và bông_cải_xanh có tốt không ?,O B-DISEASE O B-FOOD O B-FOOD O O O O
1097,Người bị thiếu máu và tiểu đường nên ăn gì?,Người bị thiếu_máu và tiểu_đường nên ăn gì ?,O O B-DISEASE O B-DISEASE O O O O
1098,Người bị gan nhiễm mỡ và tiểu đường nên ăn gì?,Người bị gan_nhiễm_mỡ và tiểu_đường nên ăn gì ?,O O B-DISEASE O B-DISEASE O O O O
1099,Người bị gout và huyết áp cao nên ăn gì?,Người bị gout và huyết_áp_cao nên ăn gì ?,O O B-DISEASE O B-DISEASE O O O O
1100,Người bị gout và dạ dày nên ăn gì?,Người bị gout và dạ_dày nên ăn gì ?,O O B-DISEASE O B-DISEASE O O O O
1101,Đau đầu do thiếu magiê ăn hạt điều có giúp không?,đau_đầu do thiếu magiê ăn hạt_điều có giúp không ?,B-SYMPTOM O O B-NUTRIENT O B-FOOD O O O O
1102,Táo bón do thiếu magiê ăn hạt điều có giúp không?,táo_bón do thiếu magiê ăn hạt_điều có giúp không ?,B-SYMPTOM O O B-NUTRIENT O B-FOOD O O O O
1103,Mất ngủ do thiếu kẽm ăn hạt điều có giúp không?,Mất_ngủ do thiếu kẽm ăn hạt_điều có giúp không ?,B-SYMPTOM O O B-NUTRIENT O B-FOOD O O O O
1104,Mất ngủ do thiếu protein ăn hạt điều có giúp không?,Mất_ngủ do thiếu protein ăn hạt_điều có giúp không ?,B-SYMPTOM O O B-NUTRIENT O B-FOOD O O O O
1105,Mất ngủ do thiếu magiê ăn bưởi có giúp không?,Mất_ngủ do thiếu magiê ăn bưởi có giúp không ?,B-SYMPTOM O O B-NUTRIENT O B-FOOD O O O O
1106,Mất ngủ do thiếu magiê ăn gạo lứt có giúp không?,Mất_ngủ do thiếu magiê ăn gạo_lứt có giúp không ?,B-SYMPTOM O O B-NUTRIENT O B-FOOD O O O O
1107,Bị huyết áp cao ăn đậu xanh giàu protein có ổn không?,Bị huyết_áp_cao ăn đậu_xanh giàu protein có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1108,Bị gout ăn đậu xanh giàu protein có ổn không?,Bị gout ăn đậu_xanh giàu protein có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1109,Bị tiểu đường ăn cá ba sa giàu protein có ổn không?,Bị tiểu_đường ăn cá_ba_sa giàu protein có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1110,Bị tiểu đường ăn ức gà giàu protein có ổn không?,Bị tiểu_đường ăn ức_gà giàu protein có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1111,Bị tiểu đường ăn đậu xanh giàu vitamin C có ổn không?,Bị tiểu_đường ăn đậu_xanh giàu vitamin_C có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1112,Bị tiểu đường ăn đậu xanh giàu natri có ổn không?,Bị tiểu_đường ăn đậu_xanh giàu natri có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1113,Người bị tiểu đường ăn sữa chua và trứng gà có tốt không?,Người bị tiểu_đường ăn sữa_chua và trứng_gà có tốt không ?,O O B-DISEASE O B-FOOD O B-FOOD O O O O
1114,Người bị huyết áp cao ăn sữa chua và trứng gà có tốt không?,Người bị huyết_áp_cao ăn sữa_chua và trứng_gà có tốt không ?,O O B-DISEASE O B-FOOD O B-FOOD O O O O
1115,Người bị loãng xương ăn gạo lứt và trứng gà có tốt không?,Người bị loãng_xương ăn gạo_lứt và trứng_gà có tốt không ?,O O B-DISEASE O B-FOOD O B-FOOD O O O O
1116,Người bị loãng xương ăn đậu phụ và trứng gà có tốt không?,Người bị loãng_xương ăn đậu_phụ và trứng_gà có tốt không ?,O O B-DISEASE O B-FOOD O B-FOOD O O O O
1117,Người bị loãng xương ăn sữa chua và cá thu có tốt không?,Người bị loãng_xương ăn sữa_chua và cá_thu có tốt không ?,O O B-DISEASE O B-FOOD O B-FOOD O O O O
1118,Người bị loãng xương ăn sữa chua và bơ có tốt không?,Người bị loãng_xương ăn sữa_chua và bơ có tốt không ?,O O B-DISEASE O B-FOOD O B-FOOD O O O O
1119,Bị gout chóng mặt nên bổ sung thực phẩm gì?,Bị gout chóng_mặt nên bổ_sung thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
1120,Bị cholesterol cao chóng mặt nên bổ sung thực phẩm gì?,Bị cholesterol_cao chóng_mặt nên bổ_sung thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
1121,Bị gan nhiễm mỡ tiêu chảy nên bổ sung thực phẩm gì?,Bị gan_nhiễm_mỡ tiêu_chảy nên bổ_sung thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
1122,Bị gan nhiễm mỡ đau cơ nên bổ sung thực phẩm gì?,Bị gan_nhiễm_mỡ đau_cơ nên bổ_sung thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
1123,Người bị gan nhiễm mỡ và béo phì nên ăn gạo lứt và rau xanh không?,Người bị gan_nhiễm_mỡ và béo_phì nên ăn gạo_lứt và rau_xanh không ?,O O B-DISEASE O B-DISEASE O O B-FOOD O O O O
1124,Người bị loãng xương và béo phì nên ăn gạo lứt và rau xanh không?,Người bị loãng_xương và béo_phì nên ăn gạo_lứt và rau_xanh không ?,O O B-DISEASE O B-DISEASE O O B-FOOD O O O O
1125,Người bị huyết áp cao và huyết áp cao nên ăn gạo lứt và rau xanh không?,Người bị huyết_áp_cao và huyết_áp_cao nên ăn gạo_lứt và rau_xanh không ?,O O B-DISEASE O B-DISEASE O O B-FOOD O O O O
1126,Người bị huyết áp cao và gout nên ăn gạo lứt và rau xanh không?,Người bị huyết_áp_cao và gout nên ăn gạo_lứt và rau_xanh không ?,O O B-DISEASE O B-DISEASE O O B-FOOD O O O O
1127,Người bị huyết áp cao và béo phì nên ăn cá ba sa và rau xanh không?,Người bị huyết_áp_cao và béo_phì nên ăn cá_ba_sa và rau_xanh không ?,O O B-DISEASE O B-DISEASE O O B-FOOD O O O O
1128,Người bị huyết áp cao và béo phì nên ăn hạt hạnh nhân và rau xanh không?,Người bị huyết_áp_cao và béo_phì nên ăn hạt_hạnh_nhân và rau_xanh không ?,O O B-DISEASE O B-DISEASE O O B-FOOD O O O O
1129,Giảm cân có nên bỏ sắt không?,Giảm_cân có nên bỏ sắt không ?,O O O O B-NUTRIENT O O
1130,Giảm cân có nên bỏ vitamin C không?,Giảm_cân có nên bỏ vitamin_C không ?,O O O O B-NUTRIENT O O
1131,Trứng gà giúp giảm cân hiệu quả không?,trứng_gà giúp giảm_cân hiệu_quả không ?,B-FOOD O O O O O
1132,Hạt điều giúp giảm cân hiệu quả không?,hạt_điều giúp giảm_cân hiệu_quả không ?,B-FOOD O O O O O
1133,Người muốn giảm cân nên hạn chế protein không?,Người muốn giảm_cân nên hạn_chế protein không ?,O O O O O B-NUTRIENT O O
1134,Người muốn giảm cân nên hạn chế vitamin C không?,Người muốn giảm_cân nên hạn_chế vitamin_C không ?,O O O O O B-NUTRIENT O O
1135,Hạt điều tốt cho người đang giảm cân không?,hạt_điều tốt cho người đang giảm_cân không ?,B-FOOD O O O O O O O
1136,Sữa tốt cho người đang giảm cân không?,sữa tốt cho người đang giảm_cân không ?,B-FOOD O O O O O O O
1137,Ăn hạt chia có béo không khi đang giảm cân?,Ăn hạt_chia có béo không khi đang giảm_cân ?,O B-FOOD O O O O O O O
1138,Ăn cà chua có béo không khi đang giảm cân?,Ăn cà_chua có béo không khi đang giảm_cân ?,O B-FOOD O O O O O O O
1139,Muốn tăng cân nên ăn thực phẩm giàu chất xơ nào?,Muốn tăng_cân nên ăn thực_phẩm giàu chất_xơ nào ?,O O O O O O B-NUTRIENT O O
1140,Muốn tăng cân nên ăn thực phẩm giàu folate nào?,Muốn tăng_cân nên ăn thực_phẩm giàu folate nào ?,O O O O O O B-NUTRIENT O O
1141,Khoai lang giúp tăng cân lành mạnh không?,khoai_lang giúp tăng_cân lành_mạnh không ?,B-FOOD O O O O O
1142,Thịt bò giúp tăng cân lành mạnh không?,thịt_bò giúp tăng_cân lành_mạnh không ?,B-FOOD O O O O O
1143,Hạt điều có phù hợp cho người muốn giảm cân không?,hạt_điều có phù_hợp cho người muốn giảm_cân không ?,B-FOOD O O O O O O O O
1144,Bơ có phù hợp cho người muốn giảm cân không?,bơ có phù_hợp cho người muốn giảm_cân không ?,B-FOOD O O O O O O O O
1145,Giảm cân nên bổ sung natri từ thực phẩm nào?,Giảm_cân nên bổ_sung natri từ thực_phẩm nào ?,O O O B-NUTRIENT O O O O
1146,Giảm cân nên bổ sung chất béo từ thực phẩm nào?,Giảm_cân nên bổ_sung chất_béo từ thực_phẩm nào ?,O O O B-NUTRIENT O O O O
1147,Gạo lứt có giúp giảm cân không?,gạo_lứt có giúp giảm_cân không ?,B-FOOD O O O O O
1148,Trứng gà có giúp giảm cân không?,trứng_gà có giúp giảm_cân không ?,B-FOOD O O O O O
1149,Người tăng cân nên ăn nhiều chất béo từ thực phẩm nào?,Người tăng_cân nên ăn nhiều chất_béo từ thực_phẩm nào ?,O O O O O B-NUTRIENT O O O O
1150,Người tăng cân nên ăn nhiều folate từ thực phẩm nào?,Người tăng_cân nên ăn nhiều folate từ thực_phẩm nào ?,O O O O O B-NUTRIENT O O O O
1151,Chuối giúp tăng cân không?,chuối giúp tăng_cân không ?,B-FOOD O O O O
1152,Hạt hạnh nhân giúp tăng cân không?,hạt_hạnh_nhân giúp tăng_cân không ?,B-FOOD O O O O
1153,Sữa có tác dụng giảm cân không?,sữa có tác_dụng giảm_cân không ?,B-FOOD O O O O O
1154,Đậu xanh có tác dụng giảm cân không?,đậu_xanh có tác_dụng giảm_cân không ?,B-FOOD O O O O O
1155,Giảm cân nên ăn bông cải xanh thay thịt heo không?,Giảm_cân nên ăn bông_cải_xanh thay thịt_heo không ?,O O O B-FOOD O B-FOOD O O
1156,Giảm cân nên ăn đậu phụ thay thịt heo không?,Giảm_cân nên ăn đậu_phụ thay thịt_heo không ?,O O O B-FOOD O B-FOOD O O
1157,Giảm cân nên ăn ức gà thay bông cải xanh không?,Giảm_cân nên ăn ức_gà thay bông_cải_xanh không ?,O O O B-FOOD O B-FOOD O O
1158,Giảm cân nên ăn ức gà thay hạt điều không?,Giảm_cân nên ăn ức_gà thay hạt_điều không ?,O O O B-FOOD O B-FOOD O O
1159,Cá ba sa tốt cho người đang giảm cân không?,cá_ba_sa tốt cho người đang giảm_cân không ?,B-FOOD O O O O O O O
1160,Cá hồi tốt cho người đang giảm cân không?,cá_hồi tốt cho người đang giảm_cân không ?,B-FOOD O O O O O O O
1161,Bưởi giúp giảm cân và bổ sung sắt không?,bưởi giúp giảm_cân và bổ_sung sắt không ?,B-FOOD O O O O B-NUTRIENT O O
1162,Óc chó giúp giảm cân và bổ sung sắt không?,óc_chó giúp giảm_cân và bổ_sung sắt không ?,B-FOOD O O O O B-NUTRIENT O O
1163,Rau chân vịt giúp giảm cân và bổ sung chất xơ không?,Rau_chân_vịt giúp giảm_cân và bổ_sung chất_xơ không ?,B-FOOD O O O O B-NUTRIENT O O
1164,Rau chân vịt giúp giảm cân và bổ sung chất béo không?,Rau_chân_vịt giúp giảm_cân và bổ_sung chất_béo không ?,B-FOOD O O O O B-NUTRIENT O O
1165,Người giảm cân nên bổ sung omega-3 từ đậu xanh không?,Người giảm_cân nên bổ_sung omega-3 từ đậu_xanh không ?,O O O O B-NUTRIENT O B-FOOD O O
1166,Người giảm cân nên bổ sung sắt từ đậu xanh không?,Người giảm_cân nên bổ_sung sắt từ đậu_xanh không ?,O O O O B-NUTRIENT O B-FOOD O O
1167,Người giảm cân nên bổ sung protein từ cá thu không?,Người giảm_cân nên bổ_sung protein từ cá_thu không ?,O O O O B-NUTRIENT O B-FOOD O O
1168,Người giảm cân nên bổ sung protein từ sữa không?,Người giảm_cân nên bổ_sung protein từ sữa không ?,O O O O B-NUTRIENT O B-FOOD O O
1169,Phụ nữ mang thai cần bổ sung vitamin D không?,Phụ_nữ mang_thai cần bổ_sung vitamin_D không ?,O O O O B-NUTRIENT O O
1170,Phụ nữ mang thai cần bổ sung protein không?,Phụ_nữ mang_thai cần bổ_sung protein không ?,O O O O B-NUTRIENT O O
1171,Bà bầu nên ăn thực phẩm giàu natri nào?,Bà_bầu nên ăn thực_phẩm giàu natri nào ?,O O O O O B-NUTRIENT O O
1172,Bà bầu nên ăn thực phẩm giàu chất xơ nào?,Bà_bầu nên ăn thực_phẩm giàu chất_xơ nào ?,O O O O O B-NUTRIENT O O
1173,Trẻ em cần bao nhiêu natri mỗi ngày?,Trẻ_em cần bao_nhiêu natri mỗi ngày ?,O O O B-NUTRIENT O O O
1174,Trẻ em cần bao nhiêu magiê mỗi ngày?,Trẻ_em cần bao_nhiêu magiê mỗi ngày ?,O O O B-NUTRIENT O O O
1175,Bà bầu ăn đậu phụ được không?,Bà_bầu ăn đậu_phụ được không ?,O O B-FOOD O O O
1176,Bà bầu ăn bắp cải được không?,Bà_bầu ăn bắp_cải được không ?,O O B-FOOD O O O
1177,Trẻ em cần bổ sung omega-3 từ thực phẩm nào?,Trẻ_em cần bổ_sung omega-3 từ thực_phẩm nào ?,O O O B-NUTRIENT O O O O
1178,Trẻ em cần bổ sung chất béo từ thực phẩm nào?,Trẻ_em cần bổ_sung chất_béo từ thực_phẩm nào ?,O O O B-NUTRIENT O O O O
1179,Bà bầu 3 tháng cuối nên ăn nhiều natri không?,Bà_bầu 3_tháng_cuối nên ăn nhiều natri không ?,O O O O O B-NUTRIENT O O
1180,Bà bầu 3 tháng cuối nên ăn nhiều magiê không?,Bà_bầu 3_tháng_cuối nên ăn nhiều magiê không ?,O O O O O B-NUTRIENT O O
1181,Người già bị huyết áp cao nên uống sữa không?,Người già bị huyết_áp_cao nên uống sữa không ?,O O O B-DISEASE O O B-FOOD O O
1182,Người già bị thiếu máu nên uống sữa không?,Người già bị thiếu_máu nên uống sữa không ?,O O O B-DISEASE O O B-FOOD O O
1183,Người già bị loãng xương nên uống rau muống không?,Người già bị loãng_xương nên uống rau_muống không ?,O O O B-DISEASE O O B-FOOD O O
1184,Người già bị loãng xương nên uống thịt heo không?,Người già bị loãng_xương nên uống thịt_heo không ?,O O O B-DISEASE O O B-FOOD O O
1185,Trẻ em biếng ăn nên bổ sung magiê không?,Trẻ_em biếng_ăn nên bổ_sung magiê không ?,O O O O B-NUTRIENT O O
1186,Trẻ em biếng ăn nên bổ sung chất béo không?,Trẻ_em biếng_ăn nên bổ_sung chất_béo không ?,O O O O B-NUTRIENT O O
1187,Bà bầu béo phì nên ăn thịt bò không?,Bà_bầu béo_phì nên ăn thịt_bò không ?,O B-DISEASE O O B-FOOD O O
1188,Bà bầu ung thư nên ăn thịt bò không?,Bà_bầu ung_thư nên ăn thịt_bò không ?,O B-DISEASE O O B-FOOD O O
1189,Bà bầu thiếu máu nên ăn cá ba sa không?,Bà_bầu thiếu_máu nên ăn cá_ba_sa không ?,O B-DISEASE O O B-FOOD O O
1190,Bà bầu thiếu máu nên ăn cá thu không?,Bà_bầu thiếu_máu nên ăn cá_thu không ?,O B-DISEASE O O B-FOOD O O
1191,Trẻ nhỏ cần chất xơ từ thực phẩm nào?,Trẻ_nhỏ cần chất_xơ từ thực_phẩm nào ?,O O B-NUTRIENT O O O O
1192,Trẻ nhỏ cần omega-3 từ thực phẩm nào?,Trẻ_nhỏ cần omega-3 từ thực_phẩm nào ?,O O B-NUTRIENT O O O O
1193,Người già nên ăn hạt hạnh nhân để bổ sung omega-3 không?,Người già nên ăn hạt_hạnh_nhân để bổ_sung omega-3 không ?,O O O O B-FOOD O O B-NUTRIENT O O
1194,Người già nên ăn thịt heo để bổ sung omega-3 không?,Người già nên ăn thịt_heo để bổ_sung omega-3 không ?,O O O O B-FOOD O O B-NUTRIENT O O
1195,Người già nên ăn cá hồi để bổ sung tinh bột không?,Người già nên ăn cá_hồi để bổ_sung tinh_bột không ?,O O O O B-FOOD O O B-NUTRIENT O O
1196,Người già nên ăn cá hồi để bổ sung vitamin C không?,Người già nên ăn cá_hồi để bổ_sung vitamin_C không ?,O O O O B-FOOD O O B-NUTRIENT O O
1197,Bà bầu nên ăn táo giàu folate không?,Bà_bầu nên ăn táo giàu folate không ?,O O O B-FOOD O B-NUTRIENT O O
1198,Bà bầu nên ăn hạt hạnh nhân giàu folate không?,Bà_bầu nên ăn hạt_hạnh_nhân giàu folate không ?,O O O B-FOOD O B-NUTRIENT O O
1199,Bà bầu nên ăn rau chân vịt giàu kali không?,Bà_bầu nên ăn rau_chân_vịt giàu kali không ?,O O O B-FOOD O B-NUTRIENT O O
1200,Bà bầu nên ăn rau chân vịt giàu canxi không?,Bà_bầu nên ăn rau_chân_vịt giàu canxi không ?,O O O B-FOOD O B-NUTRIENT O O
1201,Trẻ em thiếu vitamin D có nên uống sữa không?,Trẻ_em thiếu vitamin_D có nên uống sữa không ?,O O B-NUTRIENT O O O B-FOOD O O
1202,Trẻ em thiếu magiê có nên uống sữa không?,Trẻ_em thiếu magiê có nên uống sữa không ?,O O B-NUTRIENT O O O B-FOOD O O
1203,Trẻ em thiếu canxi có nên uống gạo lứt không?,Trẻ_em thiếu canxi có nên uống gạo_lứt không ?,O O B-NUTRIENT O O O B-FOOD O O
1204,Trẻ em thiếu canxi có nên uống cá ba sa không?,Trẻ_em thiếu canxi có nên uống cá_ba_sa không ?,O O B-NUTRIENT O O O B-FOOD O O
1205,Người cao tuổi bị khó tiêu nên ăn gì?,Người cao_tuổi bị khó_tiêu nên ăn gì ?,O O O B-SYMPTOM O O O O
1206,Người cao tuổi bị sưng khớp nên ăn gì?,Người cao_tuổi bị sưng_khớp nên ăn gì ?,O O O B-SYMPTOM O O O O
1207,Bà bầu bị sưng khớp nên tránh ăn gì?,Bà_bầu bị sưng_khớp nên tránh ăn gì ?,O O B-SYMPTOM O O O O O
1208,Bà bầu bị chuột rút nên tránh ăn gì?,Bà_bầu bị chuột_rút nên tránh ăn gì ?,O O B-SYMPTOM O O O O O
1209,Trẻ em cần omega-3 từ thực phẩm nào?,Trẻ_em cần omega-3 từ thực_phẩm nào ?,O O B-NUTRIENT O O O O
1210,Trẻ em cần vitamin D từ thực phẩm nào?,Trẻ_em cần vitamin_D từ thực_phẩm nào ?,O O B-NUTRIENT O O O O
1211,Người già nên ăn ức gà giàu canxi không?,Người già nên ăn ức_gà giàu canxi không ?,O O O O B-FOOD O B-NUTRIENT O O
1212,Người già nên ăn cá thu giàu canxi không?,Người già nên ăn cá_thu giàu canxi không ?,O O O O B-FOOD O B-NUTRIENT O O
1213,Người già nên ăn đậu phụ giàu natri không?,Người già nên ăn đậu_phụ giàu natri không ?,O O O O B-FOOD O B-NUTRIENT O O
1214,Người già nên ăn đậu phụ giàu omega-3 không?,Người già nên ăn đậu_phụ giàu omega-3 không ?,O O O O B-FOOD O B-NUTRIENT O O
1215,Bà bầu nên bổ sung sắt từ cá hồi không?,Bà_bầu nên bổ_sung sắt từ cá_hồi không ?,O O O B-NUTRIENT O B-FOOD O O
1216,Bà bầu nên bổ sung magiê từ cá hồi không?,Bà_bầu nên bổ_sung magiê từ cá_hồi không ?,O O O B-NUTRIENT O B-FOOD O O
1217,Bà bầu nên bổ sung vitamin D từ gạo lứt không?,Bà_bầu nên bổ_sung vitamin_D từ gạo_lứt không ?,O O O B-NUTRIENT O B-FOOD O O
1218,Bà bầu nên bổ sung vitamin D từ cà chua không?,Bà_bầu nên bổ_sung vitamin_D từ cà_chua không ?,O O O B-NUTRIENT O B-FOOD O O
1219,Ăn bao nhiêu vitamin B12 mỗi ngày để tăng cơ?,Ăn bao_nhiêu vitamin_B12 mỗi ngày để tăng_cơ ?,O O B-NUTRIENT O O O O O
1220,Ăn bao nhiêu vitamin D mỗi ngày để tăng cơ?,Ăn bao_nhiêu vitamin_D mỗi ngày để tăng_cơ ?,O O B-NUTRIENT O O O O O
1221,Sau tập thể thao nên ăn bưởi không?,Sau tập_thể_thao nên ăn bưởi không ?,O O O O B-FOOD O O
1222,Sau tập thể thao nên ăn chuối không?,Sau tập_thể_thao nên ăn chuối không ?,O O O O B-FOOD O O
1223,Tập gym cần bổ sung natri không?,Tập_gym cần bổ_sung natri không ?,O O O B-NUTRIENT O O
1224,Tập gym cần bổ sung kẽm không?,Tập_gym cần bổ_sung kẽm không ?,O O O B-NUTRIENT O O
1225,Trước khi tập gym nên ăn dưa hấu không?,Trước khi tập_gym nên ăn dưa_hấu không ?,O O O O O B-FOOD O O
